Id,ComponentName,Domain,Operating System,Language,Functionality,preCondition,postCondition
1,AddBookUI,Library Management,Linux,Angular,"add book ui using author name, book name and year",x,x
2,AddBookUI,Supply Chain,Linux,Angular,"add book ui using author name, book name and year",x,x
3,AuthorAndGenre,Library Management,Linux,Angular,author name dropdown and genre dropdown,x,x
4,AuthorAndGenre,Supply Chain,Linux,Angular,author name dropdown and genre dropdown,x,x
5,BerthAvailabilty,Railway Booking,Linux,Angular,"check for available berths using the values like train number ,DOJ, from and to city",x,x
6,BerthAvailabilty,Bus Booking,Linux,Angular,"check for available berths using the values like train number ,DOJ, from and to city",x,x
7,BerthAvailabilty,Bus Booking,Linux,Angular,"check for available berths using the values like train number ,DOJ, from and to city",x,x
8,BerthAvailabilty,Bus Booking,Linux,Angular,"check for available berths using the values like train number ,DOJ, from and to city",x,x
9,BookAddedSuccessfullyDialog,Library Management,Linux,Angular,book added sucessfully dialog,bookAddedSuccessful,x
10,BookAddedSuccessfullyDialog,Supply Chain,Linux,Angular,book added sucessfully dialog,bookAddedSuccessful,x
11,BookingConfirmation,Hotel Booking,Linux,Angular,confirmation page display,x,x
12,BookList,Library Management,Linux,Angular,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
13,BookList,Supply Chain,Linux,Angular,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
14,CalculateAgeScreen,Educational,Linux,Angular,Calculate age using date picker and date of birth,loggedIn,age
15,CityNameDropdown,Hotel Booking,Linux,Angular,city name dropdown,isLoggedIn,cityName:String
16,CityNameWithState,Hotel Booking,Linux,Angular,city name dropdown with state,x,x
17,ClassTypeAndQuota,Railway Booking,Linux,Angular,class type dropdown and quota type dropdown,x,x
18,ClassTypeAndQuota,Bus Booking,Linux,Angular,class type dropdown and quota type dropdown,x,x
19,DateOfJourney,Bus Booking,Linux,Angular,date of journey input,x,x
20,DateOfJourney,Railway Booking,Linux,Angular,date of journey input,x,x
21,DisplayAgeOutput,Educational,Linux,Angular,Display the age ,age,x
22,FlightBookingConfirmed,Flight Booking,Linux,Angular,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
23,FlightClassType,Flight Booking,Linux,Angular,select flight class type from dropdown,x,x
24,FlightDisplayUI,Flight Booking,Linux,Angular,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
25,FromCityToCity,Bus Booking,Linux,Angular,From city dropdown and to city dropdown select,x,x
26,FromCityToCity,Railway Booking,Linux,Angular,From city dropdown and to city dropdown select,x,x
27,FromCityToCityDOJ,Flight Booking,Linux,Angular,From city dropdown and to city dropdown and date of journey select,x,x
28,FromDateToDate,Hotel Booking,Linux,Angular,from date and to date input,x,x
29,GetFlights,Flight Booking,Linux,Angular,"get flights button to search for flights using from city name , to city name and date of journey",x,x
30,GetTrains,Railway Booking,Linux,Angular,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
31,GSTCalculator,x,Linux,Angular,gst calculate on amount or fare,amount,amount
32,HotelListUI,Hotel Booking,Linux,Angular,list of hotels with hotel select from list,x,x
33,HotelRentCalculator,Hotel Booking,Linux,Angular,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
34,HotelSearch,Hotel Booking,Linux,Angular,search for hotels using city and state name,x,x
35,LoginCaptchaScreen,x,Linux,Angular,"Login using username, password and captcha",x,loggedIn
36,LoginCheck,x,Linux,Angular,check username and password validity,"username,password",isLoggedIn
37,LoginErrorPage,x,Linux,Angular,login failed error page,x,x
38,LoginScreen,x,Linux,Angular,Login using username and password,x,loggedIn
39,LoginScreen1,x,Linux,Angular,"login using username ,password and register option",x,"userRegistered,loggedIn"
40,Logout,x,Linux,Angular,logout button,paymentStatus,loggedIn
41,NumberOfItems,Ecommerce,Linux,Angular,number of items dropdown,selectedProduct,numberOfItems
42,PassengerDetails,Railway Booking,Linux,Angular,"add details of passenger with input of name , age , gender  , phone number ",x,x
43,PassengerDetails,Bus Booking,Linux,Angular,"add details of passenger with input of name , age , gender  , phone number ",x,x
44,PaymentFailed,x,Linux,Angular,payment failed page for the given amount,x,x
45,PaymentPageUI,x,Linux,Angular,"payment page with options like credit card, debit card and cash",x,x
46,PaymentPageUI1,x,Linux,Angular,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
47,ProductCategory,Ecommerce,Linux,Angular,product category dropdown,loggedIn,productCategorySelected
48,ProductFareCalculator,Ecommerce,Linux,Angular,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
49,ProductList,Ecommerce,Linux,Angular,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
50,ProfilePage,Ecommerce,Linux,Angular,"profile page with details like name,username,email,address and phone number",x,x
51,Register,x,Linux,Angular,"registration page with details like email , password and confirm password",x,userRegistered
52,Register1,x,Linux,Angular,"registration page with details like name,email,username,password and confirm password",x,userRegistered
53,Register2,x,Linux,Angular,"registration page with details like name, username,email,address,phone number,password and confirm password",x,x
54,RoomSelector,Hotel Booking,Linux,Angular,room type and number of guests dropdown ,x,x
55,SearchBook,Library Management,Linux,Angular,search box for entering book name,x,x
56,SearchProduct,Ecommerce,Linux,Angular,searching products using product name and product category,"loggedIn,productSearchTerm,productCategorySelected",productSearchedList
57,SearchProductUI,Ecommerce,Linux,Angular,search box for entering product name to search,loggedIn,productSearchTerm
58,ThankYouPage,Ecommerce,Linux,Angular,thank you page for the username,x,x
59,TrainBookingConfirmed,Railway Booking,Linux,Angular,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
60,TrainDisplayUI,Railway Booking,Linux,Angular,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
61,BusBookingConfirmed,Bus Booking,Linux,Angular,"Train booking confirmed page with details like passenger name , date of journey, train name,travel duration and fare",x,x
62,BusDisplayUI,Bus Booking,Linux,Angular,"display list of trains with details like train number, train name, duration and fare and select train ",x,x
63,VerificationEmailPage,Ecommerce,Linux,Angular,verification email sent page,x,x
64,VideoList,Online Video,Linux,Angular,"youtube video display with video title, views and channel name with watch button",loggedIn,videoId
65,YoutubeVideoPlay,Online Video,Linux,Angular,youtube video player with video id ,videoId,x
66,AddBookUI,Library Management,MacOS,Angular,"add book ui using author name, book name and year",x,x
67,AddBookUI,Supply Chain,MacOS,Angular,"add book ui using author name, book name and year",addBook,bookAddedSuccessful:Boolean
68,AuthorAndGenre,Library Management,MacOS,Angular,author name dropdown and genre dropdown,x,x
69,AuthorAndGenre,Supply Chain,MacOS,Angular,author name dropdown and genre dropdown,x,x
70,BerthAvailabilty,Railway Booking,MacOS,Angular,"check for available berths using the values like train number ,DOJ, from and to city",x,x
71,BookAddedSuccessfullyDialog,Library Management,MacOS,Angular,book added sucessfully dialog,bookAddedSuccessful,x
72,BookAddedSuccessfullyDialog,Supply Chain,MacOS,Angular,book added sucessfully dialog,bookAddedSuccessful,x
73,BookingConfirmation,Hotel Booking,MacOS,Angular,confirmation page display,x,x
74,BookList,Library Management,MacOS,Angular,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
75,BookList,Supply Chain,MacOS,Angular,"list of books  search and display with book name, book price and author name","searchString,authorName,genre",bookRentCost:Double
76,CalculateAgeScreen,Educational,MacOS,Angular,Calculate age using date picker and date of birth,loggedIn,age
77,CityNameDropdown,Hotel Booking,MacOS,Angular,city name dropdown,isLoggedIn,cityName:String
78,CityNameWithState,Hotel Booking,MacOS,Angular,city name dropdown with state,x,x
79,ClassTypeAndQuota,Railway Booking,MacOS,Angular,class type dropdown and quota type dropdown,x,x
80,ClassTypeAndQuota,Bus Booking,MacOS,Angular,class type dropdown and quota type dropdown,x,x
81,DateOfJourney,Bus Booking,MacOS,Angular,date of journey input,x,x
82,DateOfJourney,Railway Booking,MacOS,Angular,date of journey input,x,x
83,DisplayAgeOutput,Educational,MacOS,Angular,Display the age ,age,x
84,FlightBookingConfirmed,Flight Booking,MacOS,Angular,"Flight booking confirmed page with details like airline name , date of journey, from city , to city ",x,x
85,FlightClassType,Flight Booking,MacOS,Angular,select flight class type from dropdown,x,x
86,FlightDisplayUI,Flight Booking,MacOS,Angular,"display the searched list of flights and select a flight with details like airline code, airline name, departure, arrival , number of stops , duration and price",x,x
87,FromCityToCity,Bus Booking,MacOS,Angular,From city dropdown and to city dropdown select,x,x
88,FromCityToCity,Railway Booking,MacOS,Angular,From city dropdown and to city dropdown select,x,x
89,FromCityToCityDOJ,Flight Booking,MacOS,Angular,From city dropdown and to city dropdown and date of journey select,x,x
90,FromDateToDate,Hotel Booking,MacOS,Angular,from date and to date input,x,x
91,GetFlights,Flight Booking,MacOS,Angular,"get flights button to search for flights using from city name , to city name and date of journey",x,x
92,GetTrains,Railway Booking,MacOS,Angular,"get train button to search for trains using from city name , to city name ,date of journey and class type",x,x
93,GSTCalculator,x,MacOS,Angular,gst calculate on amount or fare,amount,amount
94,HotelListUI,Hotel Booking,MacOS,Angular,list of hotels with hotel select from list,x,x
95,HotelRentCalculator,Hotel Booking,MacOS,Angular,"calculate rent of hotel room using number of days ,room type , number of guests and room rent per night",x,x
96,HotelSearch,Hotel Booking,MacOS,Angular,search for hotels using city and state name,x,x
97,LoginCaptchaScreen,x,MacOS,Angular,"Login using username, password and captcha",x,loggedIn
98,LoginCheck,x,MacOS,Angular,check username and password validity,"username,password",isLoggedIn
99,LoginErrorPage,x,MacOS,Angular,login failed error page,x,x
100,LoginScreen,x,MacOS,Angular,Login using username and password,x,loggedIn
101,LoginScreen1,x,MacOS,Angular,"login using username ,password and register option",x,"userRegistered,loggedIn"
102,Logout,x,MacOS,Angular,logout button,paymentStatus,loggedIn
103,NumberOfItems,Ecommerce,MacOS,Angular,number of items dropdown,selectedProduct,numberOfItems
104,PassengerDetails,Railway Booking,MacOS,Angular,"add details of passenger with input of name , age , gender  , phone number ",x,x
105,PassengerDetails,Bus Booking,MacOS,Angular,"add details of passenger with input of name , age , gender  , phone number ",x,x
106,PaymentFailed,x,MacOS,Angular,payment failed page for the given amount,x,x
107,PaymentPageUI,x,MacOS,Angular,"payment page with options like credit card, debit card and cash",x,x
108,PaymentPageUI1,x,MacOS,Angular,"payment page with options like credit card, debit card, netbanking, upi and cash",amount,paymentStatus
109,ProductCategory,Ecommerce,MacOS,Angular,product category dropdown,loggedIn,productCategorySelected
110,ProductFareCalculator,Ecommerce,MacOS,Angular,"product fare calculate using product price, number of items and discount percentage","amount,numberOfItems",amount
111,ProductList,Ecommerce,MacOS,Angular,display list of product search results with select a product,"loggedIn,productSeachedList","amount,selectedProduct"
112,ProfilePage,Ecommerce,MacOS,Angular,"profile page with details like name,username,email,address and phone number",x,x
